,morpho_spp,unique,family,genus,genus_morpho,species-epithet,seed_size,photo-taken,notes
1,A,m_01,Moraceae,Morus,Morus,,,X,
2,AA,m_02,Heliotropiaceae,Myriopus ,Myriopus ,,,X,"small, bumby seeds, 4-5 in one pea sized fruit, Boraginaceae has an aril, cordia corymbosa, Varronia polycephala"
3,AC,m_03,Asteraceae ,Tilesia,Tilesia,baccata,,X,Asteraceae? confirm. Mef. 37 Zé 
4,AD,m_04,Fabaceae,Fabaceae_1,Fabaceae_1,,,X,Fabaceae (Cassia?  Enterolobium?) or Malvaceae?
5,AE,m_05,Myrtaceae,Psidium,Psidium_1,,,X,Myrtaceae
6,AF,m_06,unknown,unknown_1,unknown_1,,,X,partial seed
7,AG,m_07,Piperaceae,Piper,Piper_2,,,X,"jelly seed coat, Piper amalago?"
8,AH,m_08,Amaranthaceae,Amaranthaceae,Amaranthaceae_1,,,X,chenopodiaceae/amaranthaceae vibes
9,AI,m_09,Myrtaceae,Psidium,Psidium_2,,,X,"small 28, same?"
10,AJ,m_10,Siparunaceae,Siparuna,Siparuna,guianensis,,X,"similar to 11, Siparunaceae"
11,AK,m_11,Piperaceae,Piper,Piper_1,,,X,"small square seeds, Piper aduncum"
12,AM,m_12,unknown,unknown_2,unknown_2,,,X,veiny
13,AN,m_13,unknown,unknown_3,unknown_3,,,X,
14,AO,m_14,unknown,unknown_4,unknown_4,,,X,"pear shaped, grape seeds???"
15,AQ,m_15,Rosaceae,Rubus,Rubus_1,,,X,
16,AS,m_16,Primulaceae,Stylogyne,Stylogyne,,,X,
17,B,m_17,Salicaceae,Casearia,Casearia,sylvestris,,X,
18,C,m_18,Meliaceae,Trichilia,Trichilia,,,X,"2 seeds, one fruit, white aril and dark purple seeds, smaller (unfertilized?) seeds in the base of the fruting structure "
19,D,m_19,Melastomataceae,Miconia,Miconia_3,,,,"dark brown extra small seeds, Miconia or Leandra?"
20,E,m_20,Melastomataceae,Miconia,Miconia_1,,,,fat Miconia 
21,F,m_21,Melastomataceae,Miconia,Miconia_2,,,,skinny Miconia
22,G,m_22,Melastomataceae,Miconia,Miconia_4,,,,"2 seed sizes, but same species, looks like melastomaceae, but the two samples that had the same seeds (360 and 410) both appeared as Myrcia, Myrtaceae in genetic results"
23,H,m_23,Solanaceae,Cestrum,Cestrum_1,,,,
24,I,m_24,Myrtaceae,Myrcia ,Myrcia ,,,X,identified using DNA 
25,J,m_25,Solanaceae,Nicotiana ,Nicotiana ,,,,"solanaceae, identified using DNA"
26,K,m_26,Solanaceae,Solanum,Solanum_1,,,,
27,L,m_23,Solanaceae,Cestrum,Cestrum_1,,,X,same thing as H
