mes-de-seq,especie ,amostra,tag,total_no_reads_pool,OTU,no_reads_OTU,final_fate,family,genus ,first_species_BLAST,first_species_BOLD,species,seeds_found,notes,,
Jun-23,Ramphocelus carbo,269,B,44492,P00_B_02,19,0,Moraceae,Morus,Morus sp.,,,,,,
Jun-23,Ramphocelus carbo,269,B,44492,P00_B_04,6,0,Melastomataceae,,Miconia sp.,,,,,,
Jun-23,Ramphocelus carbo,269,B,44492,P00_B_05,4,0,Melastomataceae,,Miconia sp.,,,,,,
Jun-23,Ramphocelus carbo,269,B,44492,P00_B_06,2,0,Melastomataceae,,Henriettea glabra,,,,,,
Nov-23,branco,branco,A,2291,P06_A_01,18,0,Melastomataceae,,Miconia pusilliflora,,,,,,
Nov-23,branco,branco,A,2291,P06_A_02,10,0,Bignoniaceae,,Sampaiella trichoclada,,,,,,
Nov-23,branco,branco,A,2291,P06_A_03,5,0,Moraceae,Morus,Morus nigra,,,,,,
Nov-23,branco,branco,B,2291,P06_B_01,1387,1,Melastomataceae,,Miconia pusilliflora,,,,,,
Nov-23,branco,branco,C,2291,P06_C_01,0,3,NA,,NA,,,,,,
Nov-23,branco,branco,D,2291,P06_D_01,0,3,NA,,NA,,,,,,
Nov-23,branco,branco,E,2291,P06_E_01,0,3,NA,,NA,,,,,,
Nov-23,branco,branco,H,2291,P06_H_01,0,3,NA,,NA,,,,,,
Nov-23,Turdus leucomelas,053,A,23036,P05_A_01,837,1,Salicaceae,Casearia,Casearia sylvestris,,,,,,
Nov-23,Turdus leucomelas,053,A,23036,P05_A_02,43,1,Lauraceae,Ocotea,Cinnamomum nitidum,,,,,,
Nov-23,Tachyphonus coronatus,070,B,23036,P05_B_01,18106,1,Salicaceae,Casearia ,Casearia sylvestris,,,,,,
Nov-23,Tachyphonus coronatus,070,B,23036,P05_B_02,15,0,Solanaceae,Cestrum,Nicotiana solanifolia,,,,,,
Nov-23,Tachyphonus coronatus,070,B,23036,P05_B_03,2,0,,,,,,,,,
Nov-23,Tachyphonus coronatus,070,B,23036,P05_B_04,4,0,,,,,,,,,
Nov-23,Tachyphonus coronatus,070,B,23036,P05_B_05,2,0,,,,,,,,,
Nov-23,Tachyphonus coronatus,070,B,23036,P05_B_06,2,0,,,,,,,,,
Nov-23,Tachyphonus coronatus,070,B,23036,P05_B_07,2,0,,,,,,,,,
Nov-23,Turdus amaurochalinus,199,C,23036,P05_C_01,35,1,Sapindaceae,Allophylus,Allophylus edulis,,,,,,
Nov-23,Turdus amaurochalinus,199,C,23036,P05_C_02,2,0,,,,,,,,,
Nov-23,Turdus leucomelas,308,D,23036,P05_D_01,149,1,Sapindaceae,Serjania/Paullinia,Serjania brachycarpa,,,,Serjania or Paullinia,,
Nov-23,Turdus leucomelas,308,D,23036,P05_D_02,3,0,,,,,,,,,
Nov-23,Turdus leucomelas,308,D,23036,P05_D_03,2,0,,,,,,,,,
Nov-23,Tachyphonus coronatus,253,E,23036,P05_E_01,231,1,Melastomataceae,Miconia,Miconia pusilliflora,,,,,,
Nov-23,Turdus leucomelas,198,H,23036,P05_H_01,62,1,Myrtaceae,Eugenia ,Psidium cattleyanum,,,,"leave at family level,, check seeds",,
Nov-23,Turdus leucomelas,198,H,23036,P05_H_02,2,0,,,,,,,,,
Nov-23,Antilophia galeata,132,A,23830,P01_A_01,1236,1,Melastomataceae,Miconia,Miconia,,,,,,
Nov-23,Antilophia galeata,132,A,23830,P01_A_02,501,1,Boraginaceae,Cordia,Cordia spinescens ,,,,,,
Nov-23,Antilophia galeata,132,A,23830,P01_A_03,30,1,Araliaceae,Dendropanax,Eleutherococcus gracilistylus,,,,,,
Nov-23,Antilophia galeata,132,A,23830,P01_A_04,39,2,Melastomataceae,,Astronia smilacifolia ,,,,< 98% match with any organism ,,
Nov-23,Antilophia galeata,132,A,23830,P01_A_05,56,1,Boraginaceae,Cordia,Cordia spinescens ,,,,,,
