"","plant_genus_morpho","plant_family","plant_genus","n_droppings","n_bird_spp","seed_sum"
"1","Alchornea","Euphorbiaceae","Alchornea",1,1,1
"2","Allophylus","Sapindaceae","Allophylus",2,2,3
"3","Amaranthaceae_1","Amaranthaceae","Amaranthaceae",1,1,2
"4","Casearia","Salicaceae","Casearia",9,6,171
"5","Cecropia","Urticaceae","Cecropia",2,2,144
"6","Cestrum_1","Solanaceae","Cestrum",1,1,8
"7","Cestrum_2","Solanaceae","Cestrum",1,1,1
"8","Fabaceae_1",NA,NA,1,1,1
"9","Lantanta","Verbenaceae","Lantanta",1,1,3
"10","Maclura","Moraceae","Maclura",1,1,1
"11","Miconia_1","Melastomataceae","Miconia",15,9,810
"12","Miconia_2","Melastomataceae","Miconia",2,1,187
"13","Miconia_3","Melastomataceae","Miconia",1,1,60
"14","Miconia_4","Melastomataceae","Miconia",1,1,3
"15","Morus","Moraceae","Morus",1,1,12
"16","Myrcia","Myrtaceae","Myrcia",1,1,1
"17","Myriopus","Heliotropiaceae","Myriopus",3,2,10
"18","Myrtaceae_2",NA,NA,1,1,1
"19","Nicotiana","Solanaceae","Nicotiana",1,1,3
"20","Pera","Pereaceae","Pera",1,1,2
"21","Piper_1","Piperaceae","Piper",1,1,153
"22","Piper_2","Piperaceae","Piper",3,2,31
"23","Psidium_2","Myrtaceae","Psidium",1,1,1
"24","Psychotria","Rubiaceae","Psychotria",3,1,5
"25","Rubus_1","Rosaceae","Rubus",1,1,1
"26","Rubus_2","Rosaceae","Rubus",1,1,15
"27","Siparuna","Siparunaceae","Siparuna",1,1,1
"28","Solanum_1","Solanaceae","Solanum",1,1,1
"29","Solanum_2","Solanaceae","Solanum",2,2,90
"30","Struthanthus","Loranthaceae","Struthanthus",1,1,2
"31","Stylogyne","Primulaceae","Stylogyne",2,2,6
"32","Tilesia","Asteraceae","Tilesia",1,1,1
"33","Trichilia","Meliaceae","Trichilia",2,2,5
"34","unknown_2",NA,NA,1,1,1
"35","unknown_3",NA,NA,1,1,1
"36","unknown_4",NA,NA,2,1,3
