"","Sample","Genus","Weight"
"1","027","Morus",1
"54","040","Casearia",1
"55","043","Casearia",1
"56","050","Casearia",1
"57","052","Casearia",1
"58","053","Casearia",1
"60","070","Casearia",1
"61","073","Casearia",1
"62","084","Casearia",1
"69","136","Casearia",1
"110","053","Trichilia",1
"148","412","Trichilia",1
"163","064","Miconia",1
"172","132","Miconia",1
"174","181","Miconia",1
"179","212","Miconia",1
"180","241","Miconia",1
"181","242","Miconia",1
"182","243","Miconia",1
"183","244","Miconia",1
"184","246","Miconia",1
"185","253","Miconia",1
"186","255","Miconia",1
"188","269","Miconia",1
"189","271","Miconia",1
"198","384","Miconia",1
"199","410","Miconia",1
"200","412","Miconia",1
"204","447","Miconia",1
"205","468","Miconia",1
"208","482","Miconia",1
"217","073","Cestrum",1
"222","110","Cestrum",1
"271","087","Myrcia",1
"324","099","Nicotiana",1
"377","103","Solanum",1
"403","321","Solanum",1
"412","447","Solanum",1
"430","110","Alchornea",1
"482","110","Cecropia",1
"516","447","Cecropia",1
"535","113","Psychotria",1
"561","381","Psychotria",1
"564","412","Psychotria",1
"591","195","Pera",1
"643","195","Rubus",1
"674","477","Rubus",1
"695","195","Struthanthus",1
"748","198","Lantanta",1
"801","199","Allophylus",1
"802","201","Allophylus",1
"855","212","Maclura",1
"914","255","Myrtaceae_2",1
"967","257","Myriopus",1
"971","286","Myriopus",1
"972","287","Myriopus",1
"1022","272","Piper",1
"1028","322","Piper",1
"1033","419","Piper",1
"1037","468","Piper",1
"1075","286","Tilesia",1
"1129","290","Psidium",1
"1182","297","Siparuna",1
"1237","381","unknown_2",1
"1291","410","Fabaceae_1",1
"1345","419","Amaranthaceae",1
"1398","432","unknown_3",1
"1451","437","unknown_4",1
"1453","468","unknown_4",1
"1507","481","Stylogyne",1
"1508","482","Stylogyne",1
