"","mes-de-seq","especie","amostra","tag","total_no_reads_pool","threshold","OTU","no_reads_OTU","final_fate","family","genus","double_checked_CIM","first_species_BLAST","first_species_BOLD","species","seeds_found","notes"
"1","Jun-2023","Ramphocelus carbo","269","B",44492,22,"P00_B_02",19,0,"Moraceae","Morus",NA,"Morus sp.",NA,NA,NA,NA
"2","Jun-2023","Ramphocelus carbo","269","B",44492,22,"P00_B_04",6,0,"Melastomataceae",NA,NA,"Miconia sp.",NA,NA,NA,NA
"3","Jun-2023","Ramphocelus carbo","269","B",44492,22,"P00_B_05",4,0,"Melastomataceae",NA,NA,"Miconia sp.",NA,NA,NA,NA
"4","Jun-2023","Ramphocelus carbo","269","B",44492,22,"P00_B_06",2,0,"Melastomataceae",NA,NA,"Henriettea glabra",NA,NA,NA,NA
"5","Nov-2023","branco","branco","A",2291,1,"P06_A_01",18,1,"Melastomataceae",NA,NA,"Miconia pusilliflora",NA,NA,NA,NA
"6","Nov-2023","branco","branco","A",2291,1,"P06_A_02",10,1,"Bignoniaceae",NA,NA,"Sampaiella trichoclada",NA,NA,NA,NA
"7","Nov-2023","branco","branco","A",2291,1,"P06_A_03",5,1,"Moraceae","Morus",NA,"Morus nigra",NA,NA,NA,NA
"8","Nov-2023","branco","branco","B",2291,1,"P06_B_01",1387,1,"Melastomataceae",NA,NA,"Miconia pusilliflora",NA,NA,NA,NA
"9","Nov-2023","branco","branco","C",2291,1,"P06_C_01",0,3,NA,NA,NA,NA,NA,NA,NA,NA
"10","Nov-2023","branco","branco","D",2291,1,"P06_D_01",0,3,NA,NA,NA,NA,NA,NA,NA,NA
"11","Nov-2023","branco","branco","E",2291,1,"P06_E_01",0,3,NA,NA,NA,NA,NA,NA,NA,NA
"12","Nov-2023","branco","branco","H",2291,1,"P06_H_01",0,3,NA,NA,NA,NA,NA,NA,NA,NA
"13","Nov-2023","Turdus leucomelas","053","A",23036,11,"P05_A_01",837,1,"Salicaceae","Casearia","X","Casearia sylvestris",NA,NA,NA,NA
"14","Nov-2023","Turdus leucomelas","053","A",23036,11,"P05_A_02",43,1,"Lauraceae","Ocotea","X","Cinnamomum nitidum",NA,NA,NA,NA
"15","Nov-2023","Tachyphonus coronatus","070","B",23036,11,"P05_B_01",18106,1,"Salicaceae","Casearia","X","Casearia sylvestris",NA,NA,NA,NA
"16","Nov-2023","Tachyphonus coronatus","070","B",23036,11,"P05_B_02",15,1,"Solanaceae","Cestrum","X","Nicotiana solanifolia",NA,NA,NA,NA
