"","mes-de-seq","especie","amostra","tag","total_no_reads_pool","threshold","OTU","no_reads_OTU","final_fate","family","genus","double_checked_CIM","first_species_BLAST","first_species_BOLD","species","seeds_found","notes"
"1","Nov-2023","branco","branco","A",2291,1,"P06_A_01",18,1,"Melastomataceae",NA,NA,"Miconia pusilliflora",NA,NA,NA,NA
"2","Nov-2023","branco","branco","A",2291,1,"P06_A_02",10,1,"Bignoniaceae",NA,NA,"Sampaiella trichoclada",NA,NA,NA,NA
"3","Nov-2023","branco","branco","A",2291,1,"P06_A_03",5,1,"Moraceae","Morus",NA,"Morus nigra",NA,NA,NA,NA
"4","Nov-2023","branco","branco","B",2291,1,"P06_B_01",1387,1,"Melastomataceae",NA,NA,"Miconia pusilliflora",NA,NA,NA,NA
"5","Nov-2023","Turdus leucomelas","053","A",23036,11,"P05_A_01",837,1,"Salicaceae","Casearia","X","Casearia sylvestris",NA,NA,NA,NA
"6","Nov-2023","Turdus leucomelas","053","A",23036,11,"P05_A_02",43,1,"Lauraceae","Ocotea","X","Cinnamomum nitidum",NA,NA,NA,NA
"7","Nov-2023","Tachyphonus coronatus","070","B",23036,11,"P05_B_01",18106,1,"Salicaceae","Casearia","X","Casearia sylvestris",NA,NA,NA,NA
"8","Nov-2023","Tachyphonus coronatus","070","B",23036,11,"P05_B_02",15,1,"Solanaceae","Cestrum","X","Nicotiana solanifolia",NA,NA,NA,NA
"9","Nov-2023","Turdus amaurochalinus","199","C",23036,11,"P05_C_01",35,1,"Sapindaceae","Allophylus",NA,"Allophylus edulis",NA,NA,NA,NA
"10","Nov-2023","Tachyphonus coronatus","253","E",23036,11,"P05_E_01",231,1,"Melastomataceae","Miconia",NA,"Miconia pusilliflora",NA,NA,NA,NA
"11","Nov-2023","Turdus leucomelas","198","H",23036,11,"P05_H_01",62,1,"Myrtaceae","Eugenia",NA,"Psidium cattleyanum",NA,NA,NA,"leave at family level,, check seeds"
"12","Nov-2023","Antilophia galeata","132","A",23830,12,"P01_A_01",1236,1,"Melastomataceae","Miconia",NA,"Miconia",NA,NA,NA,NA
"13","Nov-2023","Antilophia galeata","132","A",23830,12,"P01_A_02",501,1,"Boraginaceae","Cordia",NA,"Cordia spinescens",NA,NA,NA,NA
"14","Nov-2023","Antilophia galeata","132","A",23830,12,"P01_A_03",30,1,"Araliaceae","Dendropanax",NA,"Eleutherococcus gracilistylus",NA,NA,NA,NA
"15","Nov-2023","Antilophia galeata","132","A",23830,12,"P01_A_05",56,1,"Boraginaceae","Cordia",NA,"Cordia spinescens",NA,NA,NA,NA
"16","Nov-2023","Antilophia galeata","132","A",23830,12,"P01_A_06",12,1,"Melastomataceae","Miconia",NA,"Henriettea glabra",NA,NA,NA,"acabei classificando como Miconia pq n<e3>o tem Henreittea na region, confirma que n<e3>o <e9> Leandra"
"17","Nov-2023","Antilophia galeata","113","B",23830,12,"P01_B_01",16039,1,"Rubiaceae","Psychotria",NA,"Psychotria mangenotii",NA,NA,NA,NA
"18","Nov-2023","Antilophia galeata","113","B",23830,12,"P01_B_02",44,1,"Euphorbiaceae","Alchornea",NA,"Alchornea glandulosa",NA,NA,NA,NA
"19","Nov-2023","Antilophia galeata","113","B",23830,12,"P01_B_03",44,1,"Rubiaceae","Psychotria",NA,"Psychotria sp.",NA,NA,NA,"Psychotria vellosiana"
"20","Nov-2023","Antilophia galeata","113","B",23830,12,"P01_B_04",28,1,"Rubiaceae","Psychotria",NA,"Psychotria sp.",NA,NA,NA,NA
"21","Nov-2023","Antilophia galeata","113","B",23830,12,"P01_B_06",18,1,"Rubiaceae","Psychotria",NA,"Palicourea guianensis",NA,NA,NA,NA
"22","Nov-2023","Antilophia galeata","297","C",23830,12,"P01_C_01",32,1,"Siparunaceae","Siparuna",NA,"Siparuna guianensis",NA,"guianensis",NA,NA
"23","Nov-2023","Antilophia galeata","381","D",23830,12,"P01_D_01",201,1,"Rubiaceae","Psychotria",NA,"Palicourea guianensis",NA,NA,NA,NA
"24","Nov-2023","Antilophia galeata","381","D",23830,12,"P01_D_02",51,1,"Verbenaceae","Lippia/Lantana",NA,"Lippia origanoides",NA,NA,NA,"Lippia or Lantana"
"25","Nov-2023","Manacus manacus","468","E",23830,12,"P01_E_01",163,1,"Melastomataceae","Miconia",NA,"Miconia pusilliflora",NA,NA,NA,NA
"26","Nov-2023","Antilophia galeata","482","H",23830,12,"P01_H_01",22,1,"Primulaceae","Stylogyne",NA,"Embelia philippinensis",NA,NA,NA,"changed ID on 31/july/2024"
"27","Nov-2023","Antilophia galeata","482","H",23830,12,"P01_H_02",20,1,"Melastomataceae","Miconia",NA,"Miconia pusilliflora",NA,NA,NA,NA
"28","Nov-2023","Manacus manacus","064","A",25904,13,"P02_A_01",808,1,"Melastomataceae","Miconia","X","Miconia pusilliflora",NA,NA,NA,NA
"29","Nov-2023","Eucometis penicillata","052","B",25904,13,"P02_B_01",20227,1,"Salicaceae","Casearia","X","Casearia sylvestris",NA,NA,NA,NA
"30","Nov-2023","Antilophia galeata","410","C",25904,13,"P02_C_01",106,1,"Myrtaceae","Myrcia",NA,"Myrciaria floribunda",NA,"floribunda",NA,"in neighboring plot"
"31","Nov-2023","Antilophia galeata","412","D",25904,13,"P02_D_01",242,1,"Meliaceae","Trichilia",NA,"Dysoxylum carolinae",NA,"pallida",NA,NA
"32","Nov-2023","Antilophia galeata","255","E",25904,13,"P02_E_01",201,1,"Melastomataceae","Miconia",NA,"Miconia pusilliflora",NA,NA,NA,NA
"33","Nov-2023","Antilophia galeata","268","H",25904,13,"P02_H_01",18,1,"Myrtaceae","Psidium",NA,"Psidium cattleyanum",NA,NA,NA,"leave at family level"
"34","Nov-2023","Turdus leucomelas","201","B",30995,15,"P04_B_01",20305,1,"Myrtaceae","Eugenia",NA,"Myrcianthes pungens",NA,NA,NA,NA
"35","Nov-2023","Turdus leucomelas","201","B",30995,15,"P04_B_02",2449,1,"Sapindaceae","Allophylus",NA,"Allophylus edulis",NA,NA,NA,NA
