,genus,n_spp,n_samples,family
11,Chamissoa,1,1,Amaranthaceae
5,Aspidosperma,1,1,Apocynaceae
14,Dendropanax,1,1,Araliaceae
34,Syagrus,1,1,Arecaceae
37,Tilesia,1,1,Asteraceae
4,Amphilophium,1,1,Bignoniaceae
13,Cordia,2,2,Boraginaceae
38,Trema,1,1,Cannabaceae
36,Terminalia,1,1,Combretaceae
2,Alchornea,1,2,Euphorbiaceae
1,Albizia,1,1,Fabaceae
9,Centrolobium,1,1,Fabaceae
29,Senna,1,1,Fabaceae
22,Myriopus,1,1,Heliotropiaceae
24,Ocotea,1,1,Lauraceae
6,Banisteriopsis,1,1,Malpighiaceae
19,Miconia,9,16,Melastomataceae
39,Trichilia,2,2,Meliaceae
18,Maclura,1,1,Moraceae
20,Morus,2,2,Moraceae
15,Eugenia,1,2,Myrtaceae
21,Myrcia,1,2,Myrtaceae
26,Psidium,2,2,Myrtaceae
35,Syzygium,1,1,Myrtaceae
25,Piper,2,3,Piperaceae
33,Stylogyne,1,1,Primulaceae
16,Gouania,1,1,Rhamnaceae
28,Rubus,1,1,Rosaceae
27,Psychotria,1,2,Rubiaceae
7,Casearia,5,9,Salicaceae
3,Allophylus,3,3,Sapindaceae
30,Serjania/Paullinia,4,4,Sapindaceae
31,Siparuna,1,1,Siparunaceae
10,Cestrum,2,2,Solanaceae
32,Solanum,3,4,Solanaceae
23,Nicotiana,1,1,Solanaeceae
8,Cecropia,2,2,Urticaceae
12,Citharexylum,1,1,Verbenaceae
17,Lippia/Lantana,1,1,Verbenaceae
