Plant Family,Plant Genus,Morphotype,No. Droppings Detected,No. Bird Species Detected,No. Seeds 
Amaranthaceae,Amaranthaceae,Amaranthaceae_1,1,1,2
Asteraceae,Tilesia,Tilesia,1,1,1
Euphorbiaceae,Alchornea,Alchornea,1,1,1
Fabaceae,Fabaceae_1,Fabaceae_1,1,1,1
Heliotropiaceae,Myriopus,Myriopus,3,2,10
Loranthaceae,Struthanthus,Struthanthus,1,1,2
Melastomataceae,Miconia,Miconia_1,15,9,810
Melastomataceae,Miconia,Miconia_2,2,1,187
Melastomataceae,Miconia,Miconia_3,1,1,60
Melastomataceae,Miconia,Miconia_4,1,1,3
Meliaceae,Trichilia,Trichilia,2,2,5
Moraceae,Maclura,Maclura,1,1,1
Moraceae,Morus,Morus,1,1,12
Myrtaceae,Myrcia,Myrcia,1,1,1
Myrtaceae,Myrtaceae_2,Myrtaceae_2,1,1,1
Myrtaceae,Psidium,Psidium_2,1,1,1
Pereaceae,Pera,Pera,1,1,2
Piperaceae,Piper,Piper_1,1,1,153
Piperaceae,Piper,Piper_2,3,2,31
Primulaceae,Stylogyne,Stylogyne,2,2,6
Rosaceae,Rubus,Rubus_1,1,1,1
Rosaceae,Rubus,Rubus_2,1,1,15
Rubiaceae,Psychotria,Psychotria,3,1,5
Salicaceae,Casearia,Casearia,9,6,171
Sapindaceae,Allophylus,Allophylus,2,2,3
Siparunaceae,Siparuna,Siparuna,1,1,1
Solanaceae,Cestrum,Cestrum_1,1,1,8
Solanaceae,Cestrum,Cestrum_2,1,1,1
Solanaceae,Nicotiana,Nicotiana,1,1,3
Solanaceae,Solanum,Solanum_1,1,1,1
Solanaceae,Solanum,Solanum_2,2,2,90
unknown,unknown_2,unknown_2,1,1,1
unknown,unknown_3,unknown_3,1,1,1
unknown,unknown_4,unknown_4,2,1,3
Urticaceae,Cecropia,Cecropia,2,2,144
Verbenaceae,Lantanta,Lantanta,1,1,3
,,,,,1741
