,morpho_spp,bird_species,sample,no_morpho,no_seeds,unique,plant_family,plant_genus,plant_genus_morpho
1,A,Turdus leucomelas,027,1,12,m_01,Moraceae,Morus,Morus
2,AA,Manacus manacus,287,1,1,m_02,Heliotropiaceae,Myriopus,Myriopus
3,AA,Turdus leucomelas,257,1,6,m_02,Heliotropiaceae,Myriopus,Myriopus
4,AA,Manacus manacus,286,2,3,m_02,Heliotropiaceae,Myriopus,Myriopus
5,AC,Manacus manacus,286,2,1,m_03,Asteraceae,Tilesia,Tilesia
6,AD,Chiroxiphia galeata,268,3,1,m_04,Fabaceae,Fabaceae_1,Fabaceae_1
7,AD,Chiroxiphia galeata,410,2,1,m_04,Fabaceae,Fabaceae_1,Fabaceae_1
8,AE,Chiroxiphia galeata,268,3,4,m_05,Myrtaceae,Psidium,Psidium_1
9,AF,Chiroxiphia galeata,268,3,1,m_06,unknown,unknown_1,unknown_1
10,AG,Manacus manacus,468,3,1,m_07,Piperaceae,Piper,Piper_2
11,AG,Tachyphonus coronatus,272,1,24,m_07,Piperaceae,Piper,Piper_2
12,AG,Tachyphonus coronatus,419,2,6,m_07,Piperaceae,Piper,Piper_2
13,AG,Tachyphonus coronatus,420,1,2,m_07,Piperaceae,Piper,Piper_2
14,AH,Eucometis penicillata,400,1,5,m_08,Amaranthaceae,Amaranthaceae,Amaranthaceae_1
15,AH,Tachyphonus coronatus,419,2,2,m_08,Amaranthaceae,Amaranthaceae,Amaranthaceae_1
16,AI,Chiroxiphia galeata,290,1,1,m_09,Myrtaceae,Psidium,Psidium_2
17,AJ,Chiroxiphia galeata,297,1,1,m_10,Siparunaceae,Siparuna,Siparuna
18,AK,Ramphocelus carbo,322,1,153,m_11,Piperaceae,Piper,Piper_1
19,AM,Chiroxiphia galeata,381,2,1,m_12,unknown,unknown_2,unknown_2
20,AN,Tachyphonus coronatus,432,1,1,m_13,unknown,unknown_3,unknown_3
21,AO,Manacus manacus,468,3,1,m_14,unknown,unknown_4,unknown_4
22,AO,Manacus manacus,437,1,2,m_14,unknown,unknown_4,unknown_4
23,AQ,Turdus amaurochalinus,477,1,1,m_15,Rosaceae,Rubus,Rubus_1
24,AS,Turdus leucomelas,481,1,4,m_16,Primulaceae,Stylogyne,Stylogyne
25,AS,Chiroxiphia galeata,482,2,2,m_16,Primulaceae,Stylogyne,Stylogyne
26,B,Eucometis penicillata,040,1,56,m_17,Salicaceae,Casearia,Casearia
27,B,Cnemotriccus fuscatus,043,1,4,m_17,Salicaceae,Casearia,Casearia
28,B,Nemosia pileata,050,1,6,m_17,Salicaceae,Casearia,Casearia
29,B,Eucometis penicillata,052,1,31,m_17,Salicaceae,Casearia,Casearia
30,B,Turdus leucomelas,053,2,22,m_17,Salicaceae,Casearia,Casearia
31,B,Ramphocelus carbo,109,1,43,m_17,Salicaceae,Casearia,Casearia
32,B,Leptopogon amaurocephalus,075,1,7,m_17,Salicaceae,Casearia,Casearia
33,B,Tachyphonus coronatus,070,1,23,m_17,Salicaceae,Casearia,Casearia
34,B,Turdus leucomelas,073,2,20,m_17,Salicaceae,Casearia,Casearia
35,B,Eucometis penicillata,084,1,8,m_17,Salicaceae,Casearia,Casearia
